Fecha,Ultimo,Apertura,%Ultimo,%Apertura,Event,Mac,Diferencia 
1/4/1975,166.8,179.7,-7%,-2%,No,No,-5%
1/5/1975,169,167,1%,-7%,No,No,8%
1/6/1975,167.8,164.5,-1%,-1%,No,No,-2%
1/7/1975,173.4,168.3,3%,2%,No,No,4%
1/8/1975,162.8,173.8,-6%,3%,No,No,-9%
1/9/1975,142.2,152.8,-13%,-12%,No,No,-7%
1/10/1975,142.8,145,0%,-5%,Si,Si,13%
1/11/1975,138.8,143.5,-3%,-1%,No,No,-3%
1/12/1975,141,138.8,2%,-3%,No,No,4%
1/1/1976,129,140.8,-9%,1%,Si,Si,-10%
1/2/1976,132.6,130.5,3%,-7%,Si,Si,11%
1/3/1976,129.7,132.5,-2%,2%,No,No,-5%
1/4/1976,128.9,129.7,-1%,-2%,No,No,2%
1/5/1976,127.3,128.8,-1%,-1%,No,No,-1%
1/6/1976,123.9,127.8,-3%,-1%,No,No,-1%
1/7/1976,114.2,123.6,-8%,-3%,No,No,-5%
1/8/1976,103.2,113.7,-10%,-8%,No,Si,-2%
1/9/1976,116.1,104.3,13%,-8%,Si,Si,22%
1/10/1976,123.8,115.8,7%,11%,No,No,-6%
1/11/1976,132.6,122.8,7%,6%,No,No,0%
1/12/1976,135.7,131.9,2%,7%,No,No,-5%
1/1/1977,134,135.5,-1%,3%,No,No,-4%
1/2/1977,144.6,134,8%,-1%,No,No,9%
1/3/1977,151,143,4%,7%,No,No,-3%
1/4/1977,148,150.5,-2%,5%,No,No,-6%
1/5/1977,144.3,147.9,-2%,-2%,No,No,-1%
1/6/1977,143.6,144.8,0%,-2%,No,No,2%
1/7/1977,147.1,143.5,2%,-1%,No,No,3%
1/8/1977,148.1,147.2,1%,3%,No,No,-2%
1/9/1977,156.4,147.7,6%,0%,No,No,5%
1/10/1977,162.7,157.8,4%,7%,No,No,-2%
1/11/1977,162.3,163.8,0%,4%,No,No,-4%
1/12/1977,167.5,162.9,3%,-1%,No,No,3%
1/1/1978,178.9,169.9,7%,4%,No,No,4%
1/2/1978,184.4,179.4,3%,6%,No,No,-4%
1/3/1978,186.2,184.9,1%,3%,No,No,-2%
1/4/1978,170.6,185.7,-8%,0%,No,No,-9%
1/5/1978,217.4,217.4,27%,17%,Si,Si,36%
1/6/1978,214.2,214.2,-1%,-1%,Si,Si,-29%
1/7/1978,237.3,237.3,11%,11%,Si,Si,12%
1/8/1978,237.8,237.8,0%,0%,Si,Si,-11%
1/9/1978,250.8,250.8,5%,5%,No,No,5%
1/10/1978,276.4,276.4,10%,10%,No,No,5%
1/11/1978,222.5,222.5,-20%,-20%,Si,Si,-30%
1/12/1978,258.6,258.6,16%,16%,Si,Si,36%
1/1/1979,261.8,261.8,1%,1%,Si,Si,-15%
1/2/1979,281.2,281.2,7%,7%,No,No,6%
1/3/1979,265.4,265.4,-6%,-6%,Si,Si,-13%
1/4/1979,271.2,271.2,2%,2%,No,No,8%
1/5/1979,300.3,300.3,11%,11%,No,No,9%
1/6/1979,302.5,302.5,1%,1%,Si,Si,-10%
1/7/1979,308.2,308.2,2%,2%,No,No,1%
1/8/1979,338.6,338.6,10%,10%,No,No,8%
1/9/1979,420.9,420.9,24%,24%,Si,Si,14%
1/10/1979,395.5,395.5,-6%,-6%,Si,Si,-30%
1/11/1979,430.5,407.8,9%,3%,Si,Si,15%
1/12/1979,549.4,440,28%,8%,Si,Si,19%
1/1/1980,704,574.4,28%,31%,Si,No,1%
1/2/1980,651,700,-8%,22%,Si,Si,-36%
1/3/1980,519,651.6,-20%,-7%,Si,Si,-13%
1/4/1980,513.2,525,-1%,-19%,Si,Si,19%
1/5/1980,555,526,8%,0%,No,No,9%
1/6/1980,660.2,580,19%,10%,Si,Si,11%
1/7/1980,629.5,675.7,-5%,17%,Si,Si,-24%
1/8/1980,648.8,630,3%,-7%,No,No,8%
1/9/1980,688.5,652.6,6%,4%,Si,No,3%
1/10/1980,650.5,699,-6%,7%,Si,Si,-12%
1/11/1980,644.5,664.1,-1%,-5%,No,No,5%
1/12/1980,607.8,656,-6%,-1%,No,No,-5%
1/1/1981,512.5,601.5,-16%,-8%,Si,Si,-10%
1/2/1981,493,505,-4%,-16%,Si,Si,12%
1/3/1981,525.5,470.4,7%,-7%,Si,Si,10%
1/4/1981,495,524,-6%,11%,Si,Si,-12%
1/5/1981,492.5,502.5,-1%,-4%,No,No,5%
1/6/1981,433.8,495.5,-12%,-1%,Si,Si,-11%
1/7/1981,413,424.2,-5%,-14%,No,Si,7%
1/8/1981,437.3,402,6%,-5%,Si,Si,11%
1/9/1981,443,441,1%,10%,No,No,-5%
1/10/1981,436.3,446,-2%,1%,No,Si,-3%
1/11/1981,413.3,437.6,-5%,-2%,No,No,-4%
1/12/1981,406.6,407,-2%,-7%,No,No,4%
1/1/1982,391.8,391.5,-4%,-4%,No,No,-2%
1/2/1982,368.5,387,-6%,-1%,No,No,-2%
1/3/1982,334.2,369.8,-9%,-4%,No,No,-3%
1/4/1982,354.2,334.5,6%,-10%,Si,Si,15%
1/5/1982,329,352.9,-7%,6%,Si,Si,-13%
1/6/1982,321.7,325.5,-2%,-8%,No,No,5%
1/7/1982,348.6,318,8%,-2%,Si,Si,11%
1/8/1982,418.5,358,20%,13%,Si,Si,12%
1/9/1982,404.8,415,-3%,16%,Si,Si,-23%
1/10/1982,429.5,408.5,6%,-2%,No,No,9%
1/11/1982,449,436.5,5%,7%,No,No,-2%
1/12/1982,456.3,446,2%,2%,No,No,-3%
1/1/1983,518.2,457.6,14%,3%,Si,Si,12%
1/2/1983,427.1,517.5,-18%,13%,Si,Si,-31%
1/3/1983,422,418,-1%,-19%,Si,Si,16%
1/4/1983,436.8,422.5,4%,1%,No,No,5%
1/5/1983,418.5,433.8,-4%,3%,No,No,-8%
1/6/1983,421.9,420,1%,-3%,No,No,5%
1/7/1983,420,424.6,0%,1%,No,No,-1%
1/8/1983,421.2,419,0%,-1%,No,No,1%
1/9/1983,407.8,422.2,-3%,1%,No,No,-3%
1/10/1983,382,396,-6%,-6%,No,No,-3%
1/11/1983,409,384,7%,-3%,Si,Si,13%
1/12/1983,391.3,405,-4%,5%,Si,Si,-11%
1/1/1984,379.2,382.3,-3%,-6%,No,No,1%
1/2/1984,402.1,384,6%,0%,No,No,9%
1/3/1984,394.3,400.9,-2%,4%,No,No,-8%
1/4/1984,383.3,394.5,-3%,-2%,No,No,-1%
1/5/1984,393.6,384,3%,-3%,No,No,5%
1/6/1984,379.8,399.3,-4%,4%,No,Si,-6%
1/7/1984,343.5,377.3,-10%,-6%,No,No,-6%
1/8/1984,351.2,343.7,2%,-9%,Si,Si,12%
1/9/1984,351.3,343.9,0%,0%,No,No,-2%
1/10/1984,338.8,352,-4%,2%,No,No,-4%
1/11/1984,333.5,340.8,-2%,-3%,No,No,2%
1/12/1984,311.7,332.5,-7%,-2%,No,No,-5%
1/1/1985,307.4,306.2,-1%,-8%,No,No,5%
1/2/1985,290.8,306,-5%,0%,No,No,-4%
1/3/1985,334.1,292,15%,-5%,Si,Si,20%
1/4/1985,320.7,324.5,-4%,11%,Si,Si,-19%
1/5/1985,319.5,317.3,0%,-2%,No,No,4%
1/6/1985,321.3,320.1,1%,1%,No,No,1%
1/7/1985,331,317.8,3%,-1%,No,No,2%
1/8/1985,337.6,326.7,2%,3%,No,No,-1%
1/9/1985,327.1,328.8,-3%,1%,No,No,-5%
1/10/1985,328.7,326,0%,-1%,No,No,4%
1/11/1985,327.3,330.1,0%,1%,No,No,-1%
1/12/1985,332.9,327.8,2%,-1%,No,No,2%
1/1/1986,352.9,330.7,6%,1%,No,No,4%
1/2/1986,342.8,351,-3%,6%,No,No,-9%
1/3/1986,334.8,342.3,-2%,-2%,No,No,1%
1/4/1986,349.7,336,4%,-2%,No,No,7%
1/5/1986,347.1,344.4,-1%,2%,No,No,-5%
1/6/1986,350.7,346.2,1%,1%,No,No,2%
1/7/1986,366.3,347.4,4%,0%,No,No,3%
1/8/1986,393.3,364.2,7%,5%,No,No,3%
